PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,b_umd,ivol,tvol,R2,exret,TICKER
10107,16/04/2020,252,3.0021%,0.0008,1.2323,-0.2850,-0.5204,0.1036,0.7887%,2.4801%,89.8877%,0.2489%,MSFT
10107,09/09/2020,252,4.2584%,0.0004,1.2405,-0.2005,-0.4982,0.0532,0.9182%,2.6547%,88.0377%,0.5090%,MSFT
10107,06/07/2018,252,1.4034%,0.0005,1.2574,-0.3325,-0.4966,0.4855,0.7125%,1.3802%,73.3528%,0.1124%,MSFT
10107,01/10/2018,252,1.0842%,0.0005,1.2306,-0.4456,-0.5268,0.5486,0.7155%,1.4203%,74.6229%,0.4305%,MSFT
10107,27/07/2021,252,-0.8684%,0.0003,1.1933,-0.4425,-0.3740,0.0438,0.8270%,1.6114%,73.6624%,-0.1039%,MSFT
10107,31/12/2020,252,0.3338%,-0.0001,1.2367,-0.2794,-0.4821,0.0328,0.9648%,2.7680%,87.8507%,-0.1626%,MSFT
10107,24/05/2018,252,-0.3548%,0.0004,1.2950,-0.3809,-0.5114,0.4230,0.7212%,1.3928%,73.1844%,-0.2514%,MSFT
10107,10/10/2019,252,0.6221%,0.0005,1.3040,-0.3376,-0.3531,0.2468,0.7406%,1.6967%,80.9474%,-0.1082%,MSFT
10107,17/09/2019,252,0.7775%,0.0005,1.3114,-0.3418,-0.3499,0.2554,0.7394%,1.6862%,80.7718%,-0.7028%,MSFT
10107,29/07/2020,252,1.0098%,0.0004,1.2369,-0.2083,-0.5229,0.0419,0.8232%,2.5891%,89.8910%,-0.0692%,MSFT
10107,31/03/2017,252,0.2283%,0.0003,1.3639,-0.4552,-0.4048,0.2386,0.8422%,1.1579%,47.0895%,0.5825%,MSFT
10107,19/07/2017,252,0.7640%,0.0008,1.1519,-0.2336,-0.5038,0.3561,0.6846%,0.9668%,49.8662%,0.3287%,MSFT
10107,08/06/2021,252,-0.4886%,0.0002,1.2181,-0.4151,-0.3854,0.0575,0.8740%,1.7525%,75.1280%,-0.3961%,MSFT
10107,27/10/2021,252,4.2114%,0.0010,1.0728,-0.4354,-0.4014,0.0259,0.7715%,1.3702%,68.2983%,4.2642%,MSFT
10107,29/12/2020,252,-0.3601%,-0.0000,1.2369,-0.2763,-0.4813,0.0338,0.9625%,2.7688%,87.9152%,-0.1630%,MSFT
10107,08/08/2018,252,0.5603%,0.0006,1.2232,-0.4070,-0.5590,0.5243,0.7069%,1.4108%,74.8946%,0.5092%,MSFT
10107,20/10/2017,252,1.1552%,0.0004,1.1109,-0.2026,-0.5112,0.4427,0.6298%,0.9172%,52.8473%,0.5881%,MSFT
10107,09/04/2018,252,0.5985%,0.0003,1.2846,-0.2984,-0.5278,0.4524,0.7221%,1.3545%,71.5800%,-0.3780%,MSFT
10107,09/12/2019,252,-0.2570%,0.0003,1.2657,-0.4733,-0.5032,0.0401,0.6548%,1.4072%,78.3480%,0.4031%,MSFT
10107,28/08/2017,252,0.0137%,0.0004,1.0760,-0.1939,-0.4565,0.4341,0.6244%,0.9332%,55.2299%,-0.5332%,MSFT
10107,13/03/2017,252,-0.3388%,0.0002,1.3671,-0.4360,-0.4028,0.2254,0.8677%,1.1768%,45.6394%,-0.5288%,MSFT
10107,21/04/2020,252,-4.1357%,0.0007,1.2340,-0.2794,-0.5246,0.1128,0.7824%,2.4976%,90.1859%,0.0423%,MSFT
10107,25/10/2017,252,-0.2917%,0.0002,1.0856,-0.1842,-0.4885,0.4573,0.5687%,0.8704%,57.3095%,0.3654%,MSFT
10107,18/05/2021,252,-0.8565%,0.0001,1.2257,-0.4100,-0.3652,0.0616,0.8770%,1.7525%,74.9547%,-0.2301%,MSFT
10107,04/11/2020,252,4.8249%,0.0002,1.2354,-0.2309,-0.4803,0.0531,0.9157%,2.7315%,88.7612%,-0.9929%,MSFT
10107,23/11/2020,252,-0.1331%,0.0001,1.2402,-0.2461,-0.4981,0.0345,0.9267%,2.7590%,88.7186%,-0.0730%,MSFT
10107,01/02/2019,252,-1.5800%,0.0004,1.2230,-0.3487,-0.3815,0.5925,0.7513%,1.8384%,83.2975%,-1.3356%,MSFT
10107,21/07/2021,252,0.7447%,0.0003,1.2038,-0.4523,-0.3737,0.0469,0.8345%,1.6347%,73.9387%,0.1010%,MSFT
